,Date,Airline,Flight_Number,Aircraft_Model,Origin_Airport,Origin_City,Destination_Airport,Destination_City,Scheduled_Departure_Time,Actual_Departure_Time,Scheduled_Arrival_Time,Actual_Arrival_Time,Flight_Duration_Minutes,Passenger_Count,Available_Seats,Load_Factor,Passenger_Category,Departure_Delay_Minutes,Arrival_Delay_Minutes,Flight_Status,Delay_Reason,Cancellation_Reason,Ticket_Price_INR,Revenue_INR
FL01028,03-10-2024,Akasa Air,QP 383,Boeing 737 MAX 8,BOM,Mumbai,HYD,Hyderabad,20:41,20:43,22:08,22:14,87,145,189,0.7672,Business,2,6,On Time,,,3640,527800
FL02369,03-10-2024,Air India,AI 257,Boeing 787-8,GAU,Guwahati,PNQ,Pune,13:55,14:31,17:16,17:44,201,148,256,0.5781,Business,36,28,Delayed,Weather,,10940,1619120
FL03335,03-10-2024,Air India,AI 641,Airbus A321,BLR,Bengaluru,HYD,Hyderabad,10:00,10:06,11:09,11:14,69,160,190,0.8421,Senior Citizen,6,5,On Time,,,2930,468800
FL03853,03-10-2024,IndiGo,6E 981,Airbus A320neo,BOM,Mumbai,COK,Kochi,12:52,12:58,14:46,14:50,114,125,180,0.6944,Family,6,4,On Time,,,5010,626250
FL04049,03-10-2024,Air India,AI 926,Airbus A320,CJB,Coimbatore,AMD,Ahmedabad,06:45,07:17,09:15,09:42,150,113,174,0.6494,Business,32,27,Delayed,Crew,,7430,839590
FL01178,04-10-2024,Air India Express,IX 431,Boeing 737-8,HYD,Hyderabad,PNQ,Pune,13:28,16:10,14:44,17:36,76,115,189,0.6085,Business,162,172,Delayed,Security,,2310,265650
FL01974,04-10-2024,IndiGo,6E 926,Airbus A320neo,NAG,Nagpur,AMD,Ahmedabad,13:34,13:36,15:07,15:10,93,162,180,0.9,Senior Citizen,2,3,On Time,,,5000,810000
FL02239,04-10-2024,SpiceJet,SG 615,Boeing 737-800,MAA,Chennai,GOI,Goa,18:05,18:11,19:33,19:36,88,174,189,0.9206,Family,6,3,On Time,,,4330,753420
FL02243,04-10-2024,Air India,AI 204,Airbus A320,AMD,Ahmedabad,BOM,Mumbai,19:50,19:50,21:00,21:00,70,111,174,0.6379,Business,0,0,On Time,,,2550,283050
FL02475,04-10-2024,Air India,AI 298,Airbus A320,HYD,Hyderabad,LKO,Lucknow,10:45,10:46,12:53,12:53,128,109,174,0.6264,Leisure,1,0,On Time,,,5440,592960
FL02523,04-10-2024,SpiceJet,SG 678,Boeing 737-800,MAA,Chennai,COK,Kochi,21:50,21:54,23:10,23:14,80,145,189,0.7672,Leisure,4,4,On Time,,,3170,459650
FL00011,05-10-2024,Air India Express,IX 106,Boeing 737-800,BLR,Bengaluru,MAA,Chennai,08:12,08:13,09:07,09:14,55,158,180,0.8778,Student,1,7,On Time,,,1800,284400
FL00034,05-10-2024,IndiGo,6E 138,ATR 72,CCU,Kolkata,HYD,Hyderabad,14:07,14:40,16:26,16:55,139,58,70,0.8286,Family,33,29,Delayed,Weather,,8200,475600
FL01348,05-10-2024,IndiGo,6E 411,Airbus A320neo,AMD,Ahmedabad,MAA,Chennai,06:27,06:34,08:53,08:59,146,147,180,0.8167,Business,7,6,On Time,,,9010,1324470
FL01554,05-10-2024,IndiGo,6E 591,Airbus A320neo,DEL,Delhi,GAU,Guwahati,12:27,12:36,14:58,15:09,151,141,180,0.7833,Family,9,11,On Time,,,8260,1164660
FL02338,05-10-2024,Air India,AI 245,Airbus A320,MAA,Chennai,LKO,Lucknow,21:36,21:42,00:20,00:22,164,143,174,0.8218,Family,6,2,On Time,,,10390,1485770
FL03871,05-10-2024,IndiGo,6E 993,Airbus A320neo,CCU,Kolkata,GAU,Guwahati,22:11,22:16,23:25,23:28,74,138,180,0.7667,Leisure,5,3,On Time,,,2610,360180
FL04081,05-10-2024,Air India,AI 942,Boeing 787-8,MAA,Chennai,PNQ,Pune,15:04,15:05,16:45,16:47,101,201,256,0.7852,Senior Citizen,1,2,On Time,,,6980,1402980
FL04967,05-10-2024,Akasa Air,QP 596,Boeing 737 MAX 8,HYD,Hyderabad,GOI,Goa,08:06,10:13,09:27,11:36,81,134,189,0.709,Senior Citizen,127,129,Delayed,Air Traffic,,2880,385920
FL00166,06-10-2024,SpiceJet,SG 153,Boeing 737-800,AMD,Ahmedabad,COK,Kochi,15:44,15:47,18:24,18:32,160,171,189,0.9048,Leisure,3,8,On Time,,,8980,1535580
FL00522,06-10-2024,Air India Express,IX 258,Boeing 737-800,BLR,Bengaluru,COK,Kochi,19:56,20:04,21:04,21:04,68,136,180,0.7556,Senior Citizen,8,0,On Time,,,2100,285600
FL00932,06-10-2024,Akasa Air,QP 357,Boeing 737 MAX 8,BLR,Bengaluru,COK,Kochi,19:36,19:40,20:34,20:41,58,128,189,0.6772,Business,4,7,On Time,,,2040,261120
FL01503,06-10-2024,Air India,AI 707,Boeing 787-8,COK,Kochi,HYD,Hyderabad,06:13,06:16,07:51,07:55,98,227,256,0.8867,Senior Citizen,3,4,On Time,,,5060,1148620
FL01627,06-10-2024,IndiGo,6E 661,Airbus A320neo,PNQ,Pune,BLR,Bengaluru,14:58,16:53,16:29,18:16,91,138,180,0.7667,Business,115,107,Delayed,Weather,,3790,523020
FL02839,06-10-2024,Air India,AI 437,Airbus A320,AMD,Ahmedabad,GOI,Goa,21:13,00:08,22:58,02:11,105,121,174,0.6954,Leisure,175,193,Delayed,Ground Operations,,4980,602580
FL03985,06-10-2024,SpiceJet,SG 217,Boeing 737-800,COK,Kochi,PNQ,Pune,08:17,08:23,10:15,10:17,118,146,189,0.7725,Business,6,2,On Time,,,5250,766500
FL04411,06-10-2024,IndiGo,6E 590,ATR 72,HYD,Hyderabad,MAA,Chennai,16:42,16:48,17:55,18:06,73,69,70,0.9857,Leisure,6,11,On Time,,,3210,221490
FL04434,06-10-2024,Akasa Air,QP 448,Boeing 737 MAX 8,MAA,Chennai,COK,Kochi,06:41,06:45,07:58,08:03,77,160,189,0.8466,Leisure,4,5,On Time,,,3250,520000
FL00187,07-10-2024,Air India,AI 149,Airbus A321,DEL,Delhi,HYD,Hyderabad,11:41,11:44,13:58,14:05,137,188,190,0.9895,Senior Citizen,3,7,On Time,,,8580,1613040
FL00288,07-10-2024,SpiceJet,SG 188,Boeing 737-800,CCU,Kolkata,CJB,Coimbatore,18:22,20:20,21:17,23:07,175,127,189,0.672,Leisure,118,110,Delayed,Air Traffic,,8800,1117600
FL00634,07-10-2024,Air India Express,IX 278,Boeing 737-8,DEL,Delhi,LKO,Lucknow,05:28,05:35,06:30,06:37,62,135,189,0.7143,Leisure,7,7,On Time,,,2080,280800
FL01327,07-10-2024,Air India Express,IX 469,Boeing 737-800,JAI,Jaipur,CCU,Kolkata,14:17,14:25,16:44,16:56,147,140,180,0.7778,Leisure,8,12,On Time,,,7010,981400
FL02020,07-10-2024,IndiGo,6E 976,Airbus A321neo,CCU,Kolkata,CJB,Coimbatore,09:54,09:58,13:07,13:08,193,137,220,0.6227,Leisure,4,1,On Time,,,8760,1200120
FL02479,07-10-2024,SpiceJet,SG 669,Boeing 737-800,MAA,Chennai,BLR,Bengaluru,19:32,19:37,20:33,20:33,61,146,189,0.7725,Leisure,5,0,On Time,,,1800,262800
FL04704,07-10-2024,IndiGo,6E 817,Airbus A321neo,BLR,Bengaluru,LKO,Lucknow,13:33,13:36,16:18,16:18,165,144,220,0.6545,Student,3,0,On Time,,,8390,1208160
FL00249,08-10-2024,IndiGo,6E 334,Airbus A321neo,BOM,Mumbai,BLR,Bengaluru,14:57,14:57,16:28,16:28,91,141,220,0.6409,Student,0,0,On Time,,,4290,604890
FL01340,08-10-2024,IndiGo,6E 403,ATR 72,AMD,Ahmedabad,BLR,Bengaluru,20:57,20:59,23:12,23:12,135,45,70,0.6429,Leisure,2,0,On Time,,,6370,286650
FL03065,08-10-2024,IndiGo,6E 312,ATR 72,NAG,Nagpur,HYD,Hyderabad,05:08,07:54,06:23,08:53,75,43,70,0.6143,Leisure,166,150,Delayed,Technical Issue,,2180,93740
FL03905,08-10-2024,IndiGo,6E 214,Airbus A321neo,NAG,Nagpur,COK,Kochi,15:45,15:51,18:03,18:17,138,166,220,0.7545,Family,6,14,On Time,,,6200,1029200
FL00385,09-10-2024,Akasa Air,QP 185,Boeing 737 MAX 8,BLR,Bengaluru,CCU,Kolkata,11:29,11:38,14:06,14:08,157,125,189,0.6614,Business,9,2,On Time,,,7540,942500
FL02546,09-10-2024,Akasa Air,QP 777,Boeing 737 MAX 8,HYD,Hyderabad,BOM,Mumbai,07:16,08:51,08:44,10:10,88,128,189,0.6772,Family,95,86,Delayed,Crew,,3000,384000
FL02850,09-10-2024,Air India,AI 444,Airbus A321,AMD,Ahmedabad,BOM,Mumbai,05:08,05:09,06:17,06:20,69,171,190,0.9,Senior Citizen,1,3,On Time,,,2770,473670
FL03140,09-10-2024,Akasa Air,QP 927,Boeing 737 MAX 8,HYD,Hyderabad,BLR,Bengaluru,20:04,22:18,21:09,23:26,65,123,189,0.6508,Business,134,137,Delayed,Technical Issue,,2250,276750
FL04408,09-10-2024,Air India Express,IX 516,Boeing 737-8,BOM,Mumbai,MAA,Chennai,12:45,13:30,14:46,15:17,121,138,189,0.7302,Family,45,31,Delayed,Weather,,5050,696900
FL00874,10-10-2024,IndiGo,6E 812,ATR 72,BOM,Mumbai,AMD,Ahmedabad,15:30,15:33,16:40,16:41,70,59,70,0.8429,Student,3,1,On Time,,,2720,160480
FL00886,10-10-2024,IndiGo,6E 818,Airbus A320neo,DEL,Delhi,COK,Kochi,17:31,17:37,20:54,21:00,203,97,180,0.5389,Student,6,6,On Time,,,9860,956420
FL01362,10-10-2024,Air India,AI 659,Boeing 787-8,PNQ,Pune,BLR,Bengaluru,10:30,11:50,12:00,13:11,90,156,256,0.6094,Family,80,71,Delayed,Weather,,3390,528840
FL02028,10-10-2024,Air India,AI 927,Airbus A320,BLR,Bengaluru,COK,Kochi,06:17,06:23,07:09,07:17,52,113,174,0.6494,Student,6,8,On Time,,,2150,242950
FL02332,10-10-2024,Air India Express,IX 755,Boeing 737-8,LKO,Lucknow,AMD,Ahmedabad,18:57,19:05,20:51,21:02,114,132,189,0.6984,Senior Citizen,8,11,On Time,,,4460,588720
FL02538,10-10-2024,Air India,AI 329,Airbus A320,GOI,Goa,NAG,Nagpur,17:16,18:04,18:54,19:27,98,119,174,0.6839,Leisure,48,33,Delayed,Air Traffic,,5030,598570
FL03030,10-10-2024,IndiGo,6E 280,Airbus A320neo,COK,Kochi,MAA,Chennai,19:32,19:35,20:48,20:48,76,131,180,0.7278,Senior Citizen,3,0,On Time,,,2310,302610
FL00317,11-10-2024,IndiGo,6E 387,Airbus A321neo,DEL,Delhi,CCU,Kolkata,15:09,15:17,17:35,17:35,146,153,220,0.6955,Senior Citizen,8,0,On Time,,,6950,1063350
FL00859,11-10-2024,Air India Express,IX 352,Boeing 737-8,CCU,Kolkata,CJB,Coimbatore,19:20,20:22,22:28,23:22,188,147,189,0.7778,Student,62,54,Delayed,Ground Operations,,9590,1409730
FL01296,11-10-2024,Akasa Air,QP 442,Boeing 737 MAX 8,GOI,Goa,CCU,Kolkata,18:21,18:30,21:28,21:40,187,172,189,0.9101,Senior Citizen,9,12,On Time,,,10480,1802560
FL01460,11-10-2024,IndiGo,6E 504,ATR 72,AMD,Ahmedabad,BLR,Bengaluru,06:17,06:18,08:33,08:33,136,54,70,0.7714,Student,1,0,On Time,,,6950,375300
FL01614,11-10-2024,Akasa Air,QP 537,Boeing 737 MAX 8,BOM,Mumbai,HYD,Hyderabad,15:34,18:17,16:51,19:29,77,137,189,0.7249,Leisure,163,158,Delayed,Air Traffic,,3230,442510
FL01982,11-10-2024,IndiGo,6E 937,Airbus A320neo,CJB,Coimbatore,BOM,Mumbai,07:28,08:25,09:29,10:23,121,123,180,0.6833,Student,57,54,Delayed,Air Traffic,,5030,618690
FL02125,11-10-2024,SpiceJet,SG 590,Bombardier Q400,BLR,Bengaluru,CJB,Coimbatore,08:11,08:12,09:01,09:01,50,54,78,0.6923,Leisure,1,0,On Time,,,1800,97200
FL02253,11-10-2024,Akasa Air,QP 713,Boeing 737 MAX 8,JAI,Jaipur,AMD,Ahmedabad,16:11,16:16,17:28,17:36,77,155,189,0.8201,Student,5,8,On Time,,,3060,474300
FL02905,11-10-2024,IndiGo,6E 968,Airbus A321neo,NAG,Nagpur,GOI,Goa,21:43,21:50,23:18,23:29,95,192,220,0.8727,Senior Citizen,7,11,On Time,,,4490,862080
FL04039,11-10-2024,Akasa Air,QP 349,Boeing 737 MAX 8,HYD,Hyderabad,PNQ,Pune,18:28,18:29,19:30,19:30,62,127,189,0.672,Senior Citizen,1,0,On Time,,,2520,320040
FL04426,11-10-2024,Air India,AI 302,Boeing 787-8,GOI,Goa,HYD,Hyderabad,20:49,20:53,22:09,22:11,80,226,256,0.8828,Business,4,2,On Time,,,3600,813600
FL00094,12-10-2024,Air India Express,IX 144,Boeing 737-8,HYD,Hyderabad,PNQ,Pune,20:21,20:45,21:26,21:38,65,123,189,0.6508,Business,24,12,Delayed,Crew,,2800,344400
FL01272,12-10-2024,IndiGo,6E 334,ATR 72,BLR,Bengaluru,HYD,Hyderabad,09:48,09:55,11:02,11:16,74,49,70,0.7,Leisure,7,14,On Time,,,2920,143080
FL02851,12-10-2024,Air India Express,IX 913,Boeing 737-800,CCU,Kolkata,LKO,Lucknow,19:43,19:50,21:31,21:32,108,147,180,0.8167,Business,7,1,On Time,,,4990,733530
FL03041,12-10-2024,SpiceJet,SG 789,Bombardier Q400,BOM,Mumbai,GOI,Goa,18:28,18:34,19:36,19:36,68,58,78,0.7436,Leisure,6,0,On Time,,,1960,113680
FL03524,12-10-2024,IndiGo,6E 730,Airbus A320neo,MAA,Chennai,BOM,Mumbai,13:59,15:25,15:54,17:20,115,142,180,0.7889,Business,86,86,Delayed,Other,,6050,859100
FL03669,12-10-2024,Air India Express,IX 317,Boeing 737-8,COK,Kochi,PNQ,Pune,13:45,13:50,15:45,15:55,120,141,189,0.746,Leisure,5,10,On Time,,,5150,726150
FL01712,13-10-2024,IndiGo,6E 715,ATR 72,JAI,Jaipur,LKO,Lucknow,19:50,21:49,21:11,23:27,81,63,70,0.9,Business,119,136,Delayed,Technical Issue,,2740,172620
FL02692,13-10-2024,Air India,AI 399,Airbus A320,MAA,Chennai,BLR,Bengaluru,09:21,11:08,10:09,11:58,48,161,174,0.9253,Leisure,107,109,Delayed,Air Traffic,,1920,309120
FL03690,13-10-2024,IndiGo,6E 865,ATR 72,GOI,Goa,CJB,Coimbatore,11:57,11:57,13:22,13:22,85,59,70,0.8429,Senior Citizen,0,0,On Time,,,3370,198830
FL04447,13-10-2024,Air India Express,IX 532,Boeing 737-800,CCU,Kolkata,GOI,Goa,20:55,21:57,23:51,03:26,176,124,180,0.6889,Family,62,215,Diverted,Crew,,8760,1086240
FL00379,14-10-2024,Air India,AI 224,Airbus A320,BLR,Bengaluru,HYD,Hyderabad,15:29,15:36,16:36,16:50,67,145,174,0.8333,Family,7,14,On Time,,,2920,423400
FL02486,14-10-2024,Air India Express,IX 795,Boeing 737-8,GOI,Goa,MAA,Chennai,09:30,09:37,11:02,11:08,92,137,189,0.7249,Business,7,6,On Time,,,3650,500050
FL02901,14-10-2024,IndiGo,6E 965,ATR 72,HYD,Hyderabad,PNQ,Pune,11:25,11:31,12:36,12:40,71,53,70,0.7571,Leisure,6,4,On Time,,,2590,137270
FL04144,14-10-2024,Akasa Air,QP 375,Boeing 737 MAX 8,PNQ,Pune,GOI,Goa,18:53,19:02,19:59,20:06,66,144,189,0.7619,Senior Citizen,9,7,On Time,,,1890,272160
FL00307,15-10-2024,Air India,AI 187,Airbus A321,CJB,Coimbatore,GAU,Guwahati,09:40,09:46,13:24,13:38,224,121,190,0.6368,Leisure,6,14,On Time,,,13950,1687950
FL00734,15-10-2024,SpiceJet,SG 295,Boeing 737-800,GAU,Guwahati,DEL,Delhi,15:47,15:55,18:19,18:30,152,150,189,0.7937,Business,8,11,On Time,,,8780,1317000
FL01214,15-10-2024,IndiGo,6E 276,Airbus A320neo,COK,Kochi,PNQ,Pune,10:23,11:05,12:16,13:07,113,141,180,0.7833,Leisure,42,51,Delayed,Crew,,4850,683850
FL02126,15-10-2024,Akasa Air,QP 669,Boeing 737 MAX 8,CJB,Coimbatore,LKO,Lucknow,15:27,15:30,18:30,18:30,183,149,189,0.7884,Business,3,0,On Time,,,9110,1357390
FL02313,15-10-2024,IndiGo,6E 419,Airbus A321neo,MAA,Chennai,DEL,Delhi,20:39,23:29,23:40,02:28,181,172,220,0.7818,Senior Citizen,170,168,Delayed,Air Traffic,,10230,1759560
FL02790,15-10-2024,IndiGo,6E 866,Airbus A321neo,BLR,Bengaluru,CCU,Kolkata,12:54,12:55,15:37,15:37,163,153,220,0.6955,Leisure,1,0,On Time,,,6730,1029690
FL04124,15-10-2024,Air India,AI 961,Airbus A320,HYD,Hyderabad,CCU,Kolkata,18:42,18:42,20:53,20:54,131,156,174,0.8966,Family,0,1,On Time,,,7860,1226160
FL04237,15-10-2024,SpiceJet,SG 276,Boeing 737-800,HYD,Hyderabad,PNQ,Pune,15:50,15:52,17:09,17:11,79,140,189,0.7407,Business,2,2,On Time,,,2780,389200
FL01424,16-10-2024,IndiGo,6E 466,Airbus A321neo,GOI,Goa,HYD,Hyderabad,08:02,08:04,09:16,09:20,74,169,220,0.7682,Business,2,4,On Time,,,2940,496860
FL02245,16-10-2024,Akasa Air,QP 711,Boeing 737 MAX 8,MAA,Chennai,PNQ,Pune,12:40,12:42,14:33,14:33,113,108,189,0.5714,Leisure,2,0,On Time,,,4410,476280
FL03576,16-10-2024,Akasa Air,QP 227,Boeing 737 MAX 8,CCU,Kolkata,HYD,Hyderabad,20:05,20:12,22:17,22:27,132,115,189,0.6085,Family,7,10,On Time,,,5500,632500
FL03914,16-10-2024,IndiGo,6E 221,Airbus A320neo,MAA,Chennai,DEL,Delhi,07:06,08:24,10:17,11:27,191,128,180,0.7111,Family,78,70,Delayed,Air Traffic,,9020,1154560
FL00047,17-10-2024,Air India Express,IX 123,Boeing 737-800,BLR,Bengaluru,MAA,Chennai,17:33,17:37,18:29,18:34,56,158,180,0.8778,Family,4,5,On Time,,,1800,284400
FL00533,17-10-2024,IndiGo,6E 564,Airbus A321neo,CCU,Kolkata,HYD,Hyderabad,11:58,12:00,14:13,14:15,135,184,220,0.8364,Student,2,2,On Time,,,6180,1137120
FL02249,17-10-2024,Air India,AI 211,Airbus A321,GOI,Goa,HYD,Hyderabad,15:28,15:28,16:41,16:41,73,147,190,0.7737,Family,0,0,On Time,,,3110,457170
FL02703,17-10-2024,Air India Express,IX 866,Boeing 737-8,CCU,Kolkata,NAG,Nagpur,05:35,05:38,07:40,07:43,125,129,189,0.6825,Business,3,3,On Time,,,4980,642420
FL03196,17-10-2024,Air India,AI 580,Boeing 787-8,CCU,Kolkata,HYD,Hyderabad,13:10,14:05,15:23,16:30,133,188,256,0.7344,Leisure,55,67,Delayed,Late Arrival of Aircraft,,7560,1421280
FL04879,17-10-2024,IndiGo,6E 962,Airbus A320neo,BOM,Mumbai,LKO,Lucknow,08:56,11:08,11:12,13:20,136,152,180,0.8444,Business,132,128,Delayed,Technical Issue,,6320,960640
FL04913,17-10-2024,Air India,AI 492,Airbus A321,LKO,Lucknow,JAI,Jaipur,14:35,14:39,15:59,16:08,84,119,190,0.6263,Leisure,4,9,On Time,,,2680,318920
FL01108,18-10-2024,Air India,AI 554,Airbus A320,BOM,Mumbai,MAA,Chennai,14:27,,16:19,,112,0,174,0,Leisure,0,0,Cancelled,,Operational Issue,6350,0
FL01300,18-10-2024,Air India Express,IX 464,Boeing 737-800,CJB,Coimbatore,BOM,Mumbai,08:47,08:48,10:44,10:44,117,178,180,0.9889,Senior Citizen,1,0,On Time,,,6080,1082240
FL02075,18-10-2024,Air India,AI 950,Airbus A321,GOI,Goa,CCU,Kolkata,14:11,14:13,17:05,17:06,174,159,190,0.8368,Senior Citizen,2,1,On Time,,,8130,1292670
FL03648,18-10-2024,Akasa Air,QP 245,Boeing 737 MAX 8,BLR,Bengaluru,COK,Kochi,17:24,17:32,18:20,18:24,56,133,189,0.7037,Leisure,8,4,On Time,,,2160,287280
FL04921,18-10-2024,Air India,AI 497,Airbus A320,BLR,Bengaluru,BOM,Mumbai,14:04,14:09,15:53,15:56,109,170,174,0.977,Family,5,3,On Time,,,6300,1071000
FL01287,19-10-2024,SpiceJet,SG 429,Boeing 737-800,CCU,Kolkata,DEL,Delhi,15:34,15:42,17:54,18:06,140,149,189,0.7884,Family,8,12,On Time,,,8490,1265010
FL01426,19-10-2024,Air India Express,IX 492,Boeing 737-800,DEL,Delhi,HYD,Hyderabad,14:10,15:54,16:36,18:22,146,132,180,0.7333,Business,104,106,Delayed,Security,,6430,848760
FL03098,19-10-2024,IndiGo,6E 340,Airbus A321neo,CCU,Kolkata,MAA,Chennai,09:40,09:42,12:14,12:18,154,166,220,0.7545,Family,2,4,On Time,,,7830,1299780
FL03587,19-10-2024,Air India,AI 726,Airbus A321,BOM,Mumbai,COK,Kochi,06:47,09:13,08:51,11:10,124,145,190,0.7632,Business,146,139,Delayed,Technical Issue,,6890,999050
FL03816,19-10-2024,SpiceJet,SG 962,Bombardier Q400,HYD,Hyderabad,BOM,Mumbai,12:29,12:38,13:50,14:00,81,77,78,0.9872,Leisure,9,10,On Time,,,3890,299530
FL03854,19-10-2024,IndiGo,6E 982,Airbus A320neo,COK,Kochi,PNQ,Pune,13:44,13:52,15:39,15:49,115,165,180,0.9167,Leisure,8,10,On Time,,,6980,1151700
FL04141,19-10-2024,Air India,AI 971,Airbus A321,MAA,Chennai,HYD,Hyderabad,19:33,19:42,20:46,20:56,73,153,190,0.8053,Family,9,10,On Time,,,3310,506430
FL00547,20-10-2024,Air India,AI 297,Airbus A320,CJB,Coimbatore,BLR,Bengaluru,19:01,19:02,19:48,19:49,47,141,174,0.8103,Senior Citizen,1,1,On Time,,,1800,253800
FL00676,20-10-2024,Air India,AI 359,Boeing 787-8,GAU,Guwahati,HYD,Hyderabad,11:34,12:06,14:27,14:54,173,152,256,0.5938,Business,32,27,Delayed,Other,,9620,1462240
FL01006,20-10-2024,IndiGo,6E 897,Airbus A320neo,MAA,Chennai,CJB,Coimbatore,12:39,,13:46,,67,0,180,0,Leisure,0,0,Cancelled,,Operational Issue,2050,0
FL01192,20-10-2024,IndiGo,6E 255,ATR 72,BOM,Mumbai,COK,Kochi,16:44,16:46,18:49,18:49,125,56,70,0.8,Leisure,2,0,On Time,,,6860,384160
FL01311,20-10-2024,IndiGo,6E 371,Airbus A321neo,BOM,Mumbai,AMD,Ahmedabad,20:53,20:57,21:59,21:59,66,154,220,0.7,Family,4,0,On Time,,,2710,417340
FL01546,20-10-2024,Air India Express,IX 522,Boeing 737-8,JAI,Jaipur,CCU,Kolkata,13:26,13:27,15:51,15:53,145,156,189,0.8254,Leisure,1,2,On Time,,,7850,1224600
FL02081,20-10-2024,SpiceJet,SG 582,Bombardier Q400,GOI,Goa,PNQ,Pune,08:55,09:59,10:00,11:15,65,56,78,0.7179,Business,64,75,Delayed,Crew,,1800,100800
FL02163,20-10-2024,IndiGo,6E 297,Airbus A320neo,COK,Kochi,BLR,Bengaluru,10:38,10:40,11:40,11:47,62,142,180,0.7889,Leisure,2,7,On Time,,,2020,286840
FL02699,20-10-2024,Akasa Air,QP 810,Boeing 737 MAX 8,BOM,Mumbai,HYD,Hyderabad,17:28,17:36,18:48,18:53,80,167,189,0.8836,Leisure,8,5,On Time,,,4050,676350
FL03021,20-10-2024,SpiceJet,SG 784,Bombardier Q400,BLR,Bengaluru,DEL,Delhi,08:27,08:34,11:24,11:26,177,62,78,0.7949,Leisure,7,2,On Time,,,9280,575360
FL03350,20-10-2024,Air India Express,IX 239,Boeing 737-800,DEL,Delhi,PNQ,Pune,09:43,09:49,11:48,11:55,125,127,180,0.7056,Business,6,7,On Time,,,5240,665480
FL03499,20-10-2024,IndiGo,6E 709,Airbus A321neo,COK,Kochi,DEL,Delhi,18:40,18:42,22:00,22:02,200,162,220,0.7364,Leisure,2,2,On Time,,,10730,1738260
FL04036,20-10-2024,Air India Express,IX 420,Boeing 737-8,BLR,Bengaluru,CJB,Coimbatore,14:56,14:57,15:53,15:58,57,147,189,0.7778,Business,1,5,On Time,,,1800,264600
FL04071,20-10-2024,Air India Express,IX 427,Boeing 737-800,BLR,Bengaluru,HYD,Hyderabad,15:04,15:10,16:03,16:12,59,178,180,0.9889,Leisure,6,9,On Time,,,2580,459240
FL00276,21-10-2024,IndiGo,6E 365,Airbus A320neo,GOI,Goa,DEL,Delhi,16:37,16:40,19:21,19:21,164,87,180,0.4833,Leisure,3,0,On Time,,,7070,615090
FL00739,21-10-2024,Air India Express,IX 307,Boeing 737-800,GAU,Guwahati,PNQ,Pune,14:08,14:09,17:28,17:28,200,105,180,0.5833,Business,1,0,On Time,,,10580,1110900
FL00877,21-10-2024,IndiGo,6E 813,Airbus A321neo,COK,Kochi,GOI,Goa,08:18,08:18,09:43,09:44,85,151,220,0.6864,Business,0,1,On Time,,,3380,510380
FL00887,21-10-2024,Air India,AI 459,Airbus A321,BLR,Bengaluru,PNQ,Pune,06:53,06:54,08:30,08:35,97,122,190,0.6421,Business,1,5,On Time,,,3840,468480
FL01171,21-10-2024,IndiGo,6E 239,Airbus A320neo,CJB,Coimbatore,MAA,Chennai,12:33,12:33,13:45,13:46,72,125,180,0.6944,Student,0,1,On Time,,,2010,251250
FL02026,21-10-2024,Air India,AI 926,Airbus A321,CCU,Kolkata,HYD,Hyderabad,15:08,15:09,17:12,17:13,124,152,190,0.8,Business,1,1,On Time,,,6270,953040
FL02657,21-10-2024,IndiGo,6E 739,Airbus A321neo,GOI,Goa,MAA,Chennai,14:54,14:58,16:37,16:45,103,162,220,0.7364,Leisure,4,8,On Time,,,3500,567000
FL02663,21-10-2024,Air India,AI 388,Boeing 787-8,PNQ,Pune,MAA,Chennai,15:05,15:14,16:48,17:02,103,174,256,0.6797,Student,9,14,On Time,,,5350,930900
FL02729,21-10-2024,Air India,AI 408,Airbus A320,COK,Kochi,AMD,Ahmedabad,19:10,19:19,21:48,21:48,158,109,174,0.6264,Business,9,0,On Time,,,7690,838210
FL04889,21-10-2024,Akasa Air,QP 571,Boeing 737 MAX 8,DEL,Delhi,CCU,Kolkata,05:45,05:52,08:06,08:15,141,120,189,0.6349,Student,7,9,On Time,,,7070,848400
FL00847,22-10-2024,Air India Express,IX 343,Boeing 737-8,NAG,Nagpur,MAA,Chennai,20:24,20:31,22:14,22:23,110,128,189,0.6772,Family,7,9,On Time,,,3960,506880
FL01625,22-10-2024,Akasa Air,QP 542,Boeing 737 MAX 8,DEL,Delhi,BLR,Bengaluru,19:39,19:45,22:27,22:36,168,138,189,0.7302,Student,6,9,On Time,,,7710,1063980
FL01690,22-10-2024,Air India Express,IX 562,Boeing 737-8,MAA,Chennai,AMD,Ahmedabad,20:49,23:26,23:14,02:06,145,123,189,0.6508,Family,157,172,Delayed,Crew,,6880,846240
FL02566,22-10-2024,IndiGo,6E 668,Airbus A321neo,LKO,Lucknow,PNQ,Pune,05:41,05:50,07:44,07:48,123,143,220,0.65,Family,9,4,On Time,,,6120,875160
FL03915,22-10-2024,SpiceJet,SG 990,Boeing 737-800,MAA,Chennai,BLR,Bengaluru,13:58,14:07,14:56,15:05,58,154,189,0.8148,Senior Citizen,9,9,On Time,,,1800,277200
FL03960,22-10-2024,IndiGo,6E 241,ATR 72,COK,Kochi,CJB,Coimbatore,19:44,19:49,20:29,20:31,45,50,70,0.7143,Family,5,2,On Time,,,1800,90000
